Row_ID,Date,Month,Month_Num,Brand,Variant,Variant_Color,Region,City,Channel,MRP,Selling_Price,Discount_Pct,Promotion,Units_Sold,Revenue_INR,Customer_Satisfaction,Can_Size_ML
1,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Delhi,Modern Trade,125,100.0,20,Yes,137,13700.0,4.1,500
2,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Jaipur,Modern Trade,125,112.5,10,Yes,95,10687.5,4.5,500
3,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Lucknow,Modern Trade,125,125.0,0,No,163,20375.0,4.4,500
4,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Chandigarh,Modern Trade,125,112.5,10,Yes,75,8437.5,4.1,500
5,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Delhi,Quick Commerce,125,112.5,10,Yes,125,14062.5,4.6,500
6,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Jaipur,Quick Commerce,125,125.0,0,No,134,16750.0,4.0,500
7,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Lucknow,Quick Commerce,125,125.0,0,No,123,15375.0,4.8,500
8,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Chandigarh,Quick Commerce,125,125.0,0,No,140,17500.0,4.6,500
9,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Delhi,E-Commerce,125,125.0,0,No,89,11125.0,4.0,500
10,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Jaipur,E-Commerce,125,125.0,0,No,125,15625.0,3.9,500
11,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Lucknow,E-Commerce,125,125.0,0,No,68,8500.0,4.2,500
12,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Chandigarh,E-Commerce,125,125.0,0,No,82,10250.0,4.6,500
13,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Delhi,Kirana,125,106.25,15,Yes,72,7650.0,3.9,500
14,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Jaipur,Kirana,125,125.0,0,No,58,7250.0,4.5,500
15,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Lucknow,Kirana,125,125.0,0,No,91,11375.0,4.0,500
16,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,North India,Chandigarh,Kirana,125,112.5,10,Yes,44,4950.0,4.7,500
17,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Delhi,Modern Trade,130,130.0,0,No,45,5850.0,4.8,500
18,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Jaipur,Modern Trade,130,130.0,0,No,63,8190.0,4.5,500
19,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Lucknow,Modern Trade,130,110.5,15,Yes,62,6851.0,4.0,500
20,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Chandigarh,Modern Trade,130,130.0,0,No,56,7280.0,4.6,500
21,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Delhi,Quick Commerce,130,130.0,0,No,42,5460.0,4.0,500
22,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Jaipur,Quick Commerce,130,130.0,0,No,78,10140.0,4.3,500
23,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Lucknow,Quick Commerce,130,130.0,0,No,53,6890.0,4.5,500
24,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Chandigarh,Quick Commerce,130,130.0,0,No,68,8840.0,4.2,500
25,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Delhi,E-Commerce,130,130.0,0,No,71,9230.0,4.1,500
26,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Jaipur,E-Commerce,130,130.0,0,No,35,4550.0,4.2,500
27,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Lucknow,E-Commerce,130,130.0,0,No,37,4810.0,4.8,500
28,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Chandigarh,E-Commerce,130,130.0,0,No,77,10010.0,4.0,500
29,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Delhi,Kirana,130,130.0,0,No,39,5070.0,4.8,500
